step,epoch,phase,layer,weight_delta_abs,weight_delta_rel,grad_cossim_safety_vs_math,cossim_intra_math,cossim_intra_safety,train_loss
50,1,finetune,layer_0.attn_o,0.05127296969294548,0.002204816391577169,0.02138448692858219,-0.02606118470430374,0.26260410621762276,0.990466758608818
50,1,finetune,layer_0.mlp_down,0.1037326380610466,0.002937496062172184,0.0018638621550053358,0.0024270416470244527,0.12891983799636364,0.990466758608818
50,1,finetune,layer_1.attn_o,0.04256331920623779,0.0017630216326373486,-0.009774805046617985,-0.009945346508175135,0.20112701505422592,0.990466758608818
50,1,finetune,layer_1.mlp_down,0.097501739859581,0.002778287331852341,-0.005342449992895126,0.007927374223072547,0.22587629035115242,0.990466758608818
50,1,finetune,layer_2.attn_o,0.04067777097225189,0.0017283359545145933,0.0008008638978935778,0.00879835692467168,0.12093349359929562,0.990466758608818
50,1,finetune,layer_2.mlp_down,0.09657823294401169,0.0027843974935735376,-0.00433447165414691,0.006310961660346948,0.13079935871064663,0.990466758608818
50,1,finetune,layer_3.attn_o,0.04053821042180061,0.0017214819912570488,-0.013770575635135174,0.01726789365056902,0.20532656088471413,0.990466758608818
50,1,finetune,layer_3.mlp_down,0.09769733995199203,0.002792175154965879,-0.005376290064305067,0.013892612245399505,0.2040570955723524,0.990466758608818
50,1,finetune,layer_4.attn_o,0.04517493024468422,0.0019402164133447755,-0.01683446578681469,0.02337068459019065,0.2175748534500599,0.990466758608818
50,1,finetune,layer_4.mlp_down,0.09849680960178375,0.0028780833400397694,-0.010831641964614391,0.023409096524119377,0.21752004697918892,0.990466758608818
50,1,finetune,layer_5.attn_o,0.04326101392507553,0.0017780692132140588,-0.02451186254620552,0.02906499058008194,0.2689078859984875,0.990466758608818
50,1,finetune,layer_5.mlp_down,0.10369335860013962,0.003065949158244197,-0.008789862506091595,0.02195861143991351,0.1801520772278309,0.990466758608818
50,1,finetune,layer_6.attn_o,0.04390501230955124,0.0019448504849267948,-0.01940319687128067,0.03975743008777499,0.3160197585821152,0.990466758608818
50,1,finetune,layer_6.mlp_down,0.10217749327421188,0.0029818265125229264,-0.015924600884318352,0.029759486438706517,0.21485066041350365,0.990466758608818
50,1,finetune,layer_7.attn_o,0.0450793020427227,0.0018202317549960928,-0.018781913444399834,0.031933517660945654,0.23960509151220322,0.990466758608818
50,1,finetune,layer_7.mlp_down,0.10559381544589996,0.0030725292987826996,-0.016941705718636513,0.02526141796261072,0.1904779877513647,0.990466758608818
50,1,finetune,layer_8.attn_o,0.039499517530202866,0.0016365158616691322,-0.03140554577112198,0.03357913298532367,0.3004396818578243,0.990466758608818
50,1,finetune,layer_8.mlp_down,0.10295034199953079,0.0029940498511534085,-0.01591293327510357,0.03724241862073541,0.19879225455224514,0.990466758608818
50,1,finetune,layer_9.attn_o,0.04070570319890976,0.0016387809560994573,-0.018679343163967133,0.03916215733624995,0.2851569689810276,0.990466758608818
50,1,finetune,layer_9.mlp_down,0.10599113255739212,0.003118612647387928,-0.018405718728899956,0.032961439341306686,0.319176122546196,0.990466758608818
50,1,finetune,layer_10.attn_o,0.04226323589682579,0.0017841963406738885,-0.026013405993580818,0.04334987420588732,0.3380851224064827,0.990466758608818
50,1,finetune,layer_10.mlp_down,0.10445937514305115,0.0031049946947804105,-0.019551660865545273,0.027874557592440397,0.342290785163641,0.990466758608818
50,1,finetune,layer_11.attn_o,0.04110829532146454,0.0016732419335930072,-0.013963792473077774,0.027025627437978983,0.3053740933537483,0.990466758608818
50,1,finetune,layer_11.mlp_down,0.10341691970825195,0.003112278219628843,-0.01945466548204422,0.03568713058484718,0.38887444883584976,0.990466758608818
50,1,finetune,layer_12.attn_o,0.040611300617456436,0.0016863663411728963,-0.013252527453005314,0.028086693724617362,0.39446330070495605,0.990466758608818
50,1,finetune,layer_12.mlp_down,0.1049368754029274,0.003165714631933392,-0.01537268329411745,0.034816438565030694,0.4080570191144943,0.990466758608818
50,1,finetune,layer_13.attn_o,0.04291762784123421,0.001777806637204374,-0.004972901660948992,0.0291967683006078,0.2760208398103714,0.990466758608818
50,1,finetune,layer_13.mlp_down,0.10771416872739792,0.0032389129723510287,-0.009159332141280174,0.030120705254375935,0.3886881433427334,0.990466758608818
50,1,finetune,layer_14.attn_o,0.04035568609833717,0.0017177553890835025,-0.007904885336756706,0.023823211900889874,0.35776446014642715,0.990466758608818
50,1,finetune,layer_14.mlp_down,0.10654836148023605,0.003191022512729257,-0.006285632029175758,0.028254224685952067,0.3608330599963665,0.990466758608818
50,1,finetune,layer_15.attn_o,0.042648326605558395,0.0018220366028294565,-0.008575345389544964,0.029697215904889163,0.3186751902103424,0.990466758608818
50,1,finetune,layer_15.mlp_down,0.1061534583568573,0.003150774844281216,-0.0040808506309986115,0.018638573586940765,0.2962297461926937,0.990466758608818
50,1,finetune,layer_16.attn_o,0.03851739317178726,0.0016139882958075302,-0.0008137382101267576,0.022541645797900856,0.1645463239401579,0.990466758608818
